fecha	archivo	algoritmo	cp	minsplit	minbucket	maxdepth	ganancia_promedio	tiempo_promedio	ganancias			
20160919 005222	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	2	5	1170833	40.47309	1170833			
20160919 005342	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	2	10	995833.3	80.25454	995833.3			
20160919 005619	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	2	20	927500	156.2928	927500			
20160919 005707	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	5	5	1170833	47.16098	1170833			
20160919 005832	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	5	10	1096667	84.72392	1096667			
20160919 010109	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	5	20	944166.7	155.8046	944166.7			
20160919 010148	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	200	2	5	1105833	38.69104	1105833			
20160919 010306	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	200	2	10	1193333	77.75032	1193333			
20160919 010554	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	200	2	20	1144167	166.8837	1144167			
20160919 010637	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	200	5	5	598333.3	42.95217	598333.3			
20160919 010802	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	200	5	10	598333.3	83.65419	598333.3			
20160919 011055	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	200	5	20	598333.3	172.7873	598333.3			
20160919 011139	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	2	5	992500	43.21296	992500			
20160919 011258	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	2	10	992500	78.42489	992500			
20160919 011532	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	2	20	992500	153.6244	992500			
20160919 011538	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	5	5	0	5.233174	0			
20160919 011547	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	5	10	0	9.097228	0			
20160919 011604	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	5	20	0	16.84775	0			
20160919 011643	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	2	5	992500	38.02456	992500			
20160919 011758	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	2	10	992500	74.93879	992500			
20160919 012023	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	2	20	992500	144.1882	992500			
20160919 012029	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	5	5	0	5.55058	0			
20160919 012038	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	5	10	0	8.874577	0			
20160919 012055	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	5	20	0	15.97019	0			
20160919 012134	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	20	2	5	598333.3	38.87799	598333.3			
20160919 012252	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	20	2	10	598333.3	77.50095	598333.3			
20160919 012507	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	20	2	20	598333.3	133.706	598333.3			
20160919 012546	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	20	5	5	598333.3	39.06163	598333.3			
20160919 012704	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	20	5	10	598333.3	76.91261	598333.3			
20160919 012928	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	20	5	20	598333.3	144.1147	598333.3			
20160919 013008	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	200	2	5	598333.3	39.04385	598333.3			
20160919 013133	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	200	2	10	598333.3	84.67804	598333.3			
20160919 013400	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	200	2	20	598333.3	145.8326	598333.3			
20160919 013443	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	200	5	5	598333.3	42.62443	598333.3			
