fecha	dataset	cf	minNode	trials	ganancia_promedio	tiempo_promedio	ganancias			
20161024 014450	ternaria_VisaMaster_weights_corteProb	0.01	2	1	1061875	52.48353	1147500	1068333	1108333	923333.3
20161024 015131	ternaria_VisaMaster_weights_corteProb	0.02	2	1	1061875	57.52326	1147500	1068333	1108333	923333.3
20161024 015812	ternaria_VisaMaster_weights_corteProb	0.03	2	1	1052292	57.62113	1147500	1030000	1108333	923333.3
20161024 020512	ternaria_VisaMaster_weights_corteProb	0.04	2	1	1059583	59.67295	1147500	1030000	1108333	952500
20161023 231851	ternaria_VisaMaster_historicas_weights_corteProb	0.25	2	1	803333.3	855.557	803333.3			
20161024 013359	ternaria_VisaMaster_weights_corteProb	0.2	2	1	672291.7	171.1116	802500	325000	651666.7	910000
20161024 011837	ternaria_VisaMaster_weights_corteProb	0.15	2	1	688750	198.2432	790000	325833.3	731666.7	907500
20161024 010152	ternaria_VisaMaster_weights_corteProb	0.1	2	1	676666.7	253.8226	731666.7	349166.7	725000	900833.3
20161024 003630	ternaria_VisaMaster_weights_corteProb	0.05	2	1	692708.3	214.2839	730000	440000	747500	853333.3
20161024 025839	ternaria_VisaMaster_weights_corteProb	0.001	10	1	991041.7	176.6003	1197500	719166.7	1108333	939166.7
20161024 034529	ternaria_VisaMaster_weights_corteProb	0.2	10	1	779791.7	173.9446	902500	676666.7	805833.3	734166.7
20161024 032944	ternaria_VisaMaster_weights_corteProb	0.1	10	1	861666.7	169.9937	1024167	696666.7	870000	855833.3
20161024 031417	ternaria_VisaMaster_weights_corteProb	0.01	10	1	880625	169.6362	1094167	686666.7	936666.7	805000
20161024 024253	ternaria_VisaMaster_weights_corteProb	0.0001	10	1	933958.3	152.605	1031667	740000	1098333	865833.3
20161024 040909	ternaria_VisaMaster_weights_corteProb	0.001	50	1	1049167	128.8123	1078333	968333.3	1083333	1066667
20161024 035714	ternaria_VisaMaster_weights_corteProb	0.0001	50	1	1006250	125.4909	1155000	977500	1030000	862500
20161024 043002	ternaria_VisaMaster_weights_corteProb	0.1	50	1	1043958	117.8551	1088333	1018333	1125000	944166.7
20161024 044109	ternaria_VisaMaster_weights_corteProb	0.2	50	1	1023542	117.1043	1005000	1040833	1125000	923333.3
20161024 041903	ternaria_VisaMaster_weights_corteProb	0.01	50	1	1082083	103.6001	1155000	1049167	1138333	985833.3
20161024 051338	ternaria_VisaMaster_weights_corteProb	0.1	100	1	1051250	96.86873	921666.7	1005000	1075833	1202500
20161024 050421	ternaria_VisaMaster_weights_corteProb	0.01	100	1	1097708	88.80687	949166.7	1098333	1140833	1202500
20161024 052219	ternaria_VisaMaster_weights_corteProb	0.2	100	1	1046875	85.78782	921666.7	987500	1075833	1202500
20161024 045544	ternaria_VisaMaster_weights_corteProb	0.001	100	1	1085000	69.58256	918333.3	1116667	1140833	1164167
20161024 044821	ternaria_VisaMaster_weights_corteProb	0.0001	100	1	1092292	69.09432	993333.3	1220000	1047500	1108333
20161024 053426	ternaria_VisaMaster_weights_corteProb	0.001	200	1	1072083	52.95916	1147500	1068333	1149167	923333.3
20161024 055215	ternaria_VisaMaster_weights_corteProb	0.2	200	1	1067083	52.66823	1120833	1032500	1162500	952500
20161024 054617	ternaria_VisaMaster_weights_corteProb	0.1	200	1	1066875	52.41842	1120000	1032500	1162500	952500
20161024 052817	ternaria_VisaMaster_weights_corteProb	0.0001	200	1	1070208	52.10878	1147500	1060833	1149167	923333.3
20161024 054021	ternaria_VisaMaster_weights_corteProb	0.01	200	1	1061875	51.8001	1147500	1068333	1108333	923333.3
20161024 060923	ternaria_VisaMaster_weights_corteProb	0.01	400	1	1202917	51.24628	1163333	1299167	1155000	1194167
20161024 060335	ternaria_VisaMaster_weights_corteProb	0.001	400	1	1215833	51.2005	1163333	1350833	1155000	1194167
20161024 062059	ternaria_VisaMaster_weights_corteProb	0.2	400	1	1145625	51.11601	1163333	1196667	1135833	1086667
20161024 061512	ternaria_VisaMaster_weights_corteProb	0.1	400	1	1145625	51.00243	1163333	1196667	1135833	1086667
20161024 055748	ternaria_VisaMaster_weights_corteProb	0.0001	400	1	1204167	49.22473	1163333	1350833	1155000	1147500
20161025 164811	binaria_VisaMaster_weights_corteProb	0.0001	100	1	1036042	79.73011	750833.3	1197500	1151667	1044167
20161025 165612	binaria_VisaMaster_weights_corteProb	0.001	100	1	1010417	82.64331	709166.7	1197500	1151667	983333.3
20161025 170455	binaria_VisaMaster_weights_corteProb	0.01	100	1	989166.7	91.71434	690000	1181667	1101667	983333.3
20161025 171124	binaria_VisaMaster_weights_corteProb	0.0001	200	1	960000	59.7154	665000	1180000	945000	1050000
20161025 171722	binaria_VisaMaster_weights_corteProb	0.001	200	1	945625	52.95779	665000	1180000	910833.3	1026667
20161025 172318	binaria_VisaMaster_weights_corteProb	0.01	200	1	939583.3	52.2838	665000	1180000	886666.7	1026667
20161025 172847	binaria_VisaMaster_weights_corteProb	0.0001	400	1	1053750	47.60459	838333.3	1323333	1125000	928333.3
20161025 173414	binaria_VisaMaster_weights_corteProb	0.001	400	1	1035000	47.15706	838333.3	1323333	1050000	928333.3
20161025 173943	binaria_VisaMaster_weights_corteProb	0.01	400	1	1035000	47.48362	838333.3	1323333	1050000	928333.3
20161025 174635	binaria_VisaMaster_weights_corteProb	0.0001	500	1	1089167	58.12856	984166.7	1244167	1197500	930833.3
20161025 175312	binaria_VisaMaster_weights_corteProb	0.001	500	1	1089375	57.92318	984166.7	1244167	1198333	930833.3
20161025 175841	binaria_VisaMaster_weights_corteProb	0.01	500	1	1089375	47.25736	984166.7	1244167	1198333	930833.3
20161025 180400	binaria_VisaMaster_weights_corteProb	0.0001	600	1	1130000	45.36966	1080833	1287500	1196667	955000
20161025 180919	binaria_VisaMaster_weights_corteProb	0.001	600	1	1095417	45.37687	1080833	1194167	1203333	903333.3
