fecha	dataset	cantTrees	nodesize	ganancia_promedio	tiempo_promedio	ganancias
20161021 003939	abril_historicas_visamaster	500	none	1285833	534.1044	1285833
20161021 154318	abril_historicas_visamaster	1000	none	1288333	1238.502	1288333
20161021 171335	abril_historicas_visamaster	1000	impurity	1288333	NA	1288333
20161025 025608	abril_visamaster	500	100	-3078611	226.2085	-3220000	-3088333	-2927500	
20161026 023432	abril_visamaster	200	600	1140833	77.00272	1140833	
20161026 024241	abril_visamaster	200	500	975000	79.85986	1131667	930833.3	862500	
20161026 024658	abril_visamaster	200	600	1043611	81.55042	1140833	1090000	9e+05	
20161026 025104	abril_visamaster	200	800	1304444	78.06947	1271667	1415000	1226667	
20161026 025504	abril_visamaster	200	1000	1343333	75.92465	1400833	1505833	1123333	
20161026 030120	abril_visamaster	300	500	961111.1	119.8658	1084167	934166.7	865000	
20161026 030725	abril_visamaster	300	600	1096667	116.1676	1197500	1090000	1002500	
20161026 031323	abril_visamaster	300	800	1289722	114.0733	1275000	1410000	1184167	
20161026 031923	abril_visamaster	300	1000	1380556	114.7754	1377500	1589167	1175000	
20161026 032930	abril_visamaster	500	500	1018889	193.8429	1109167	1030000	917500	
20161026 033922	abril_visamaster	500	600	1111944	188.507	1175000	1161667	999166.7	
20161026 034912	abril_visamaster	500	800	1284167	188.253	1221667	1482500	1148333	
20161026 035845	abril_visamaster	500	1000	1362778	182.4159	1381667	1532500	1174167	
